checkpoint,tstart,cfg_tar,metric,delta,ci95,p,better,n_better,n
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,50,12.0,clap,-0.000830894463288727,0.0004906395695501276,0.001212413577434801,higher,46,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,50,6.0,clap,-0.001531203683604552,0.000698435925625665,3.662303371663342e-05,higher,39,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,100,6.0,clap,0.00044903472725371445,0.0012045050347834615,0.46647351379795965,higher,61,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,100,12.0,clap,0.0010890761475169362,0.0010524879776003864,0.0448775442412907,higher,62,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,150,6.0,clap,-0.003120519527413466,0.002395008581714175,0.01197731951549813,higher,50,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,150,12.0,clap,0.0012702656352572424,0.0023473031030073034,0.29108060681370096,higher,56,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,200,12.0,clap,0.0024648492631365523,0.003603549040707968,0.18269897689261066,higher,62,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,200,6.0,clap,-0.002269348262521913,0.0031706351537583396,0.16337946178983745,higher,52,115
DDPM-inv,50,12.0,clap,0.0004717514250913407,0.0031017112329654274,0.7661663550543789,higher,64,115
DDPM-inv,50,6.0,clap,-0.000295895986629199,0.0024948526351869626,0.8165967325756291,higher,61,115
DDPM-inv,100,6.0,clap,-0.009037786353510607,0.007986591372823107,0.028538715629829983,higher,49,115
DDPM-inv,100,12.0,clap,0.000738527647799992,0.00717536665701366,0.8404843529785747,higher,59,115
DDPM-inv,150,6.0,clap,0.006614571798199452,0.014849881730265016,0.3844757805104383,higher,50,115
DDPM-inv,150,12.0,clap,0.013319053290292282,0.012738962172854742,0.04273278282852297,higher,66,115
DDPM-inv,200,12.0,clap,0.009073537789192627,0.013482198877375649,0.1897849399896661,higher,62,115
DDPM-inv,200,6.0,clap,-0.006063153881649057,0.01615311823876601,0.4634268238259457,higher,46,115
SDEdit,50,12.0,clap,0.00020268914222285774,0.005002032760256708,0.9368363352542957,higher,55,115
SDEdit,50,6.0,clap,0.0014728133081927048,0.005124966774072551,0.574360700968205,higher,58,115
SDEdit,100,6.0,clap,0.0001194837353120969,0.010663255874874959,0.9825165358399,higher,59,115
SDEdit,100,12.0,clap,-0.002111075692819757,0.009504138579947738,0.664125316870283,higher,54,115
SDEdit,150,6.0,clap,0.024449875744881097,0.015033066069987349,0.0018508937568821647,higher,70,115
SDEdit,150,12.0,clap,0.024537939402943864,0.013344799536458373,0.00046596292141660664,higher,70,115
SDEdit,200,12.0,clap,0.0216167109438814,0.012203478857936921,0.0007311046549886,higher,71,115
SDEdit,200,6.0,clap,0.014581988793768869,0.015317965971852103,0.06463583545016902,higher,62,115
